CUT_REG,CUT_PROV,CUT_COM,REGION,PROVINCIA,COMUNA,SUPERFICIE,LAT,LONG,ANYO,Z_SAT,I_MUN,POBR,FD_1,FD_2,FD_3,FD_4,FD_5,CFD_1,CFD_2,CFD_3,CFD_4,CFD_5,CFD_6,CFD_7,CFD_8,CFD_9,CFD_10,CFD_11,CFD_12,POB_M,POB_H,POB_1,POB_2,POB_3,TESV,ESV,EMI,TEMI,EMP,TEMP,EMM,TEMM,EMG,TEMG,S_AG,S_BA,S_CO,S_HR,S_OR,
1,11,1101,Tarapacá,Iquique,Iquique,2289.53,-20.9244,-70.0483,2014,0,"66,945,540,164",0.06,9.7, -   , -   ,8, -   , -   ,1, -   , -   , -   , -   ,7,9.7, -   , -   , -   , -   ,95767,97876,41926,135417,16300,4878,1519,8534,6116,2782,24040,680,21207,366,26258,333,7089,7007,746,11022,#N/A
1,11,1107,Tarapacá,Iquique,Alto_Hospicio,571.19,-20.1898,-70.0122,2014,0,"18,309,335,758",0.1, -   ,40.3, -   ,3, -   , -   ,2.19,0,32.1, -   , -   ,7.89,0.54,0.53,0.02,0.02, -   ,51208,52414,30208,69425,3989,154,247,2857,1857,476,4224,71,3751,19,3466,12,2709,3086,0,4604,
1,14,1401,Tarapacá,Tamarugal,Pozo_Almonte,13765.8,-20.7718,-69.5079,2014,0,"6,920,786,002",0.12,44.26,13.87, -   ,1, -   , -   ,3.16,0.01,46.3, -   , -   ,8.06,0.78,0.76,0.03,0.04, -   ,6666,7362,3666,9326,1036,95,55,547,776,105,963,8,247,8,2003,15,223,159,0,1772,
1,14,1402,Tarapacá,Tamarugal,Camina,2199.83,-19.3701,-69.5012,2014,0,"3,110,241,657",0.35,0.05, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.05, -   , -   , -   , -   ,614,653,315,767,185,79,3,64,5,6,19,0,0,0,0,,,,,,
1,14,1403,Tarapacá,Tamarugal,Colchane,4007.84,-19.3544,-68.845,2014,0,"3,317,695,221",0.34,0.53, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.53, -   , -   , -   , -   ,718,779,312,966,219,0,8,20,108,0,0,0,0,0,0,,,,,,
1,14,1404,Tarapacá,Tamarugal,Huara,10472.5,-19.6016,-69.6635,2014,0,"5,231,878,862",0.22,0.15, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.15, -   , -   , -   , -   ,1268,1386,656,1626,372,229,10,114,16,5,50,1,31,1,1,2,71,56,0,403,
1,14,1405,Tarapacá,Tamarugal,Pica,8982.12,-20.4809,-68.913,2014,0,"7,504,448,644",0.2,38.68,162.36, -   , -   , -   , -   ,10.94,0.02,160.12, -   , -   ,24.4,2.7,2.63,0.1,0.12, -   ,2449,2518,1191,3118,658,7,27,305,93,30,563,0,0,0,0,,,,,,
2,21,2101,Antofagasta,Antofagasta,Antofagasta,30683.5,-24.2783,-69.4052,2014,0,"80,780,451,390",0.04, -   ,15.46, -   ,10, -   , -   ,1.84,0,12.31,1, -   ,9.88,0.21,0.2,0.01,0.01, -   ,179605,183602,81397,255374,26436,6526,2502,12081,6432,3977,29792,586,28261,238,56906,19,8708,2143,235,2193,
2,21,2102,Antofagasta,Antofagasta,Mejillones,3576.07,-22.9477,-70.2032,2014,0,"9,536,508,723",0.07, -   ,0.24, -   ,1, -   , -   ,0.01,0,0.19, -   , -   ,1.03,0,0,0,0, -   ,5643,6307,2771,8500,679,442,60,366,182,145,1342,14,322,9,625,54,736,30,4,129,
2,21,2103,Antofagasta,Antofagasta,Sierra_Gorda,12883,-23.2603,-69.3089,2014,0,"7,144,936,605",0.14,0.13, -   , -   , -   , -   , -   ,0.01,0,0.11, -   , -   ,0.02,0,0,0,0, -   ,708,811,350,1098,71,157,4,77,28,28,221,3,146,1,1073,,,,,,
2,21,2104,Antofagasta,Antofagasta,Taltal,20412.1,-25.3103,-69.8615,2014,0,"7,760,282,670",0.06,34.7,25.42, -   , -   , -   , -   ,3.27,0.01,47.89, -   , -   ,7.3,0.81,0.79,0.03,0.04, -   ,6007,6355,3096,8149,1117,61,76,458,530,170,787,18,415,2,683,38,293,296,10,1351,
2,22,2201,Antofagasta,El Loa,Calama,15533.2,-22.1684,-68.6294,2014,0,"47,941,531,252",0.04,87.25,16.57, -   ,4, -   , -   ,5.65,0.01,82.69, -   , -   ,16.6,1.4,1.36,0.05,0.06, -   ,81370,83814,40535,114590,10059,1260,1113,4873,2277,1526,14108,158,8729,65,17348,23,2958,1306,686,1395,
2,22,2202,Antofagasta,El Loa,Ollague,2925.54,-21.4576,-68.3153,2014,0,"1,468,427,265",0.24,5.04, -   , -   , -   , -   , -   ,0.27,0,4.02, -   , -   ,0.61,0.07,0.07,0,0, -   ,139,156,69,200,26,32,3,6,7,3,37,0,0,0,0,,,,,,
2,22,2203,Antofagasta,El Loa,San_Pedro_Atacama,23602.2,-23.404,-67.9094,2014,0,"8,179,991,478",0.15,11.62,126.58, -   , -   , -   , -   ,7.52,0.01,110.08, -   , -   ,16.77,1.86,1.81,0.07,0.09, -   ,4158,4262,1800,6018,602,8,38,494,402,109,745,9,531,0,0,4,128,70,0,256,
2,23,2301,Antofagasta,Tocopilla,Tocopilla,4120.83,-22.0024,-70.0174,2014,0,"10,504,941,921",0.03,9.81,53.8, -   ,3, -   , -   ,3.46,0.01,50.67, -   , -   ,10.72,0.86,0.83,0.03,0.04, -   ,13030,13197,6599,17070,2558,831,171,911,519,193,1561,22,1369,1,0,147,570,1586,14,665,
2,23,2302,Antofagasta,Tocopilla,Maria_Elena,12330.1,-22.0943,-69.4658,2014,0,"4,807,800,546",0.08, -   ,0.51, -   , -   , -   , -   ,0.03,0,0.41, -   , -   ,0.06,0.01,0.01,0,0, -   ,3377,3614,1661,5009,321,230,15,143,60,44,543,5,276,0,0,,,,,,
3,31,3101,Atacama,Copiapó,Copiapo,17782.9,-27.317,-69.8226,2014,0,"60,558,926,647",0.05,83.89,"2,754.40", -   ,4,"2,199.00", -   ,178.49,4.26,"4,246.65", -   , -   ,431.48,81.16,78.08,1.42,19.75, -   ,79208,80742,37864,109330,12756,1137,1306,5545,6877,1542,19056,193,11104,68,19703,259,8343,1929,519,867,
3,31,3102,Atacama,Copiapó,Caldera,3680.47,-27.1404,-70.6823,2014,0,"10,971,342,544",0.08,"1,844.88",31.51, -   ,1, -   , -   ,102.13,0.17,"1,494.51", -   , -   ,228.74,25.23,24.52,0.94,1.16, -   ,8748,9121,4243,12001,1625,50,118,803,923,177,1078,8,348,6,599,46,2790,215,0,247,
3,31,3103,Atacama,Copiapó,Tierra_Amarilla,11251.1,-27.8632,-69.6704,2014,0,"11,895,467,775",0.1,21.16,1.49, -   ,2,60, -   ,2.23,0,72.04, -   , -   ,6.75,1.3,1.3,0.01,1.01, -   ,6595,7114,3386,9330,993,69,86,418,787,119,1306,13,1046,7,1594,,,,,,
3,32,3201,Atacama,Chañaral,Chanaral,5758.87,-26.3733,-70.3374,2014,0,"8,472,839,137",0.11,126.2,224.11, -   ,1, -   , -   ,19.07,0.03,279.01, -   , -   ,43.52,4.71,4.58,0.18,0.22, -   ,6448,6677,3297,8511,1317,237,94,639,303,130,832,15,546,5,1911,,,,,,
3,32,3202,Atacama,Chañaral,Diego_Almagro,18969.2,-26.233,-69.1886,2014,0,"9,713,007,161",0.06,9.79,44.68, -   ,1, -   , -   ,2.96,0,43.39, -   , -   ,7.61,0.73,0.71,0.03,0.03, -   ,7369,7717,3911,10234,941,25,94,499,597,122,772,15,1241,7,1653,,,,,,
3,33,3301,Atacama,Huasco,Vallenar,7226.86,-28.5945,-70.6031,2014,0,"28,618,491,256",0.09,350.8,311.45, -   ,3,9, -   ,36.05,0.06,536.47, -   , -   ,83.38,8.9,8.65,0.33,0.41, -   ,27352,27419,13006,35778,5987,1893,462,2097,1013,420,3401,43,2271,10,2678,49,2477,2304,347,1895,
3,33,3302,Atacama,Huasco,Alto_Carmen,6155.88,-28.9904,-70.1565,2014,0,"5,603,076,686",0.25,54.02, -   , -   , -   ,327, -   ,6.94,0,339.03, -   , -   ,19.56,6.73,6.71,0.03,2.03, -   ,2635,2838,1163,3473,837,193,55,304,197,19,430,0,0,0,0,,,,,,
3,33,3303,Atacama,Huasco,Freirina,3222.55,-28.8139,-71.1789,2014,0,"5,278,197,853",0.1,80.23,346, -   , -   ,41, -   ,23.2,0.04,376.49, -   , -   ,53.73,6.73,6.57,0.21,0.26, -   ,3539,3649,1736,4639,813,6,51,249,444,45,278,2,146,0,0,,,,,,
3,33,3304,Atacama,Huasco,Huasco,1602.25,-28.2502,-71.0296,2014,0,"6,937,465,231",0.12,60.75,225.46, -   , -   ,203, -   ,17.58,0.03,412.96, -   , -   ,42.74,7.85,6.74,0.14,1.18, -   ,5076,5299,2426,6807,1142,384,52,389,106,89,461,6,158,3,1030,,,,,,
4,41,4101,Coquimbo,Elqui,La_Serena,1901.22,-29.789,-71.0605,2014,0,"47,985,134,901",0.13,"1,234.60","5,224.65","1,430.00",7,40, -   ,382.58,1.59,"6,496.68", -   , -   ,858.96,94.84,91.39,3.24,6.98, -   ,111840,106773,46462,150204,21947,3902,1722,7563,5849,2111,20685,245,14053,92,23659,86,6086,5364,549,11121,
4,41,4102,Coquimbo,Elqui,Coquimbo,1431.77,-30.2283,-71.3587,2014,0,"67,638,273,444",0.13,"8,765.00","1,094.85",284,8,36, -   ,543.68,0.9,"8,147.19", -   , -   ,"1,217.69",134.56,130.82,4.94,8.07, -   ,114333,109717,50246,152089,21715,2996,1429,6779,3668,1540,16561,204,15861,80,13311,161,8431,2396,819,2417,
4,41,4103,Coquimbo,Elqui,Andacollo,514.2,-30.2593,-71.1007,2014,0,"4,758,826,555",0.15,870.88,60.08, -   , -   , -   , -   ,50.67,0.08,741.49, -   , -   ,112.99,12.52,12.16,0.47,0.57, -   ,5785,5708,2559,7498,1436,430,48,372,106,94,647,16,748,4,1771,0,344,44,33,817,
4,41,4104,Coquimbo,Elqui,La_Higuera,4165.74,-29.3753,-70.9021,2014,0,"5,363,067,977",0.23,53.04,545.65, -   , -   , -   , -   ,32.59,0.05,476.85, -   , -   ,72.66,8.05,7.82,0.3,0.37, -   ,2077,2134,977,2710,524,168,26,190,104,32,138,0,0,0,0,,,,,,
4,41,4105,Coquimbo,Elqui,Paiguano,1513.94,-30.2344,-70.372,2014,0,"5,036,494,786",0.17,101.99, -   , -   , -   ,57, -   ,6.55,0.01,132.24, -   , -   ,14.38,2.37,2.33,0.05,1.06, -   ,2287,2237,913,2995,616,260,31,311,141,38,449,1,17,1,108,0,1,19,0,12,
4,41,4106,Coquimbo,Elqui,Vicuna,7579.04,-29.8918,-70.3823,2014,0,"11,446,737,586",0.24,541.66,"2,139.25",809, -   ,115, -   ,165.92,0.24,"2,976.30", -   , -   ,373.38,42.04,41.03,1.34,4.65, -   ,14051,13762,6221,18402,3190,225,152,968,1101,222,4723,16,1124,8,1354,23,1005,232,155,204,
4,42,4201,Coquimbo,Choapa,Illapel,2629.06,-31.5492,-70.9708,2014,0,"14,848,817,222",0.16,"1,212.46",559.62, -   ,1,"2,654.00", -   ,128.45,2.16,"3,819.42", -   , -   ,321.08,70.82,68.15,0.89,16.09, -   ,16316,15546,7020,20770,4072,1339,264,1427,1060,238,1616,23,749,8,730,1,14,78,49,356,
4,42,4202,Coquimbo,Choapa,Canela,2196.81,-31.4017,-71.3945,2014,0,"7,083,828,158",0.38,457.11,6.83, -   , -   , -   , -   ,25.25,0.04,369.52, -   , -   ,56.31,6.24,6.06,0.23,0.29, -   ,4722,4711,1843,5878,1712,410,42,300,46,47,199,5,107,1,173,3,461,220,0,499,
4,42,4203,Coquimbo,Choapa,Los_Vilos,1859.5,-31.9782,-71.3039,2014,0,"8,879,259,046",0.25,"6,500.78",299.57,"47,520.00",1, -   , -   ,"1,454.15",31.62,"48,813.35", -   , -   ,"3,236.36",344.43,333.85,3.41,104.19, -   ,10651,10665,4661,14091,2564,818,118,821,310,169,1100,12,483,5,107,17,789,314,153,588,
4,42,4204,Coquimbo,Choapa,Salamanca,3445.76,-31.8934,-70.6615,2014,0,"13,670,783,731",0.19,"1,789.24",198.26,"2,321.00", -   ,471, -   ,166.18,3.18,"4,129.01", -   , -   ,375.22,47.72,46.97,1,10.22, -   ,13646,13545,5901,17912,3378,187,207,1518,1401,261,2314,25,1091,9,1785,14,773,512,160,2652,
4,43,4301,Coquimbo,Limarí,Ovalle,3546.21,-30.673,-71.4054,2014,0,"47,219,829,031",0.16,"4,033.83",640.36,"3,994.00", -   ,"1,382.00", -   ,345.42,4.43,"8,694.90", -   , -   ,795.31,97.84,94.07,2.34,15.88, -   ,58130,55679,25711,75513,12585,710,899,4562,3504,779,14643,81,6062,24,3145,50,6993,2196,617,7448,
4,43,4302,Coquimbo,Limarí,Combarbala,2296.04,-31.1465,-70.9657,2014,0,"8,005,142,539",0.31,"1,637.64",299.93, -   , -   ,7, -   ,105.46,0.18,"1,550.24", -   , -   ,235.16,26.05,25.31,0.97,1.19, -   ,6924,6760,2625,8649,2410,191,84,490,693,64,1024,5,100,0,0,0,60,22,62,184,
4,43,4303,Coquimbo,Limarí,Monte_Patria,4211.35,-30.8344,-70.6505,2014,0,"18,010,786,636",0.29,"1,641.25","1,482.76", -   , -   ,189, -   ,172.04,0.28,"2,661.22", -   , -   ,386.16,45,43.82,1.57,2.92, -   ,16002,15671,7244,20641,3788,49,196,1417,2972,205,3291,22,2783,9,3424,,,,,,
4,43,4304,Coquimbo,Limarí,Punitaqui,1092.42,-30.946,-71.3329,2014,0,"6,880,846,377",0.26,608.15,"2,522.61",4,1,132, -   ,172.41,0.29,"2,617.59", -   , -   ,385.98,44.09,42.9,1.57,2.93, -   ,5729,5617,2576,7200,1570,567,75,392,371,64,656,4,119,1,233,2,13,2,0,15,
4,43,4305,Coquimbo,Limarí,Rio_Hurtado,2204.5,-30.4303,-70.654,2014,0,"5,090,917,141",0.37,84.77, -   ,"4,229.00", -   ,118, -   ,106.61,3.01,"4,021.51", -   , -   ,240.29,27.14,24.11,0.04,9.05, -   ,2230,2184,842,2763,809,343,22,222,86,18,131,0,0,0,0,2,294,128,0,197,
5,51,5101,Valparaíso,Valparaíso,Valparaiso,310.87,-33.1296,-71.5729,2014,0,"71,088,139,401",0.17,"8,918.61","1,796.10","77,626.00",23,923, -   ,"1,828.15",66.99,"82,324.36",1, -   ,"4,075.17",328,465.9,5.45,191.69, -   ,154483,148206,55812,209854,37023,13133,2603,9291,8283,2553,27306,380,21409,135,54388,134,6924,11803,1770,15958,
5,51,5102,Valparaíso,Valparaíso,Casablanca,954.63,-33.3157,-71.4348,2014,0,"10,913,926,731",0.2,"1,469.33","2,747.10","9,121.00",3,"2,392.00", -   ,429.14,18.25,"14,044.11", -   , -   ,973.32,98,122.56,1.36,45.68, -   ,13516,13159,5699,18031,2945,180,312,1284,1384,407,2620,69,1345,28,3842,3,1091,69,52,658,
5,51,5104,Valparaíso,Valparaíso,Juan_Fernandez,110.55,-33.329,-79.8729,2014,0,"2,174,834,716",0.09,,,,,,,,,,,,,,,,,,441,456,192,624,81,80,15,55,7,6,3,0,0,0,0,,,,,,
5,51,5105,Valparaíso,Valparaíso,Puchuncavi,299.68,-32.7452,-71.3876,2014,0,"9,051,166,595",0.15,656.47,"2,290.76",709,1, -   , -   ,146.1,1.23,"3,139.97", -   , -   ,326.94,2,36.15,1.27,3.56, -   ,9003,8883,3692,11843,2351,317,143,857,1113,148,1285,14,314,7,277,,,,,,
5,51,5107,Valparaíso,Valparaíso,Quintero,146.06,-32.8418,-71.4727,2014,0,"10,929,563,016",0.19,474.56,"1,572.44","1,475.00",2,8, -   ,72.73,1.07,"3,254.76", -   , -   ,163.73,17.05,17.74,0.41,4.51, -   ,15944,15514,6694,20917,3847,960,283,1051,492,230,1901,32,792,18,3284,39,1251,1410,50,237,
5,52,5201,Valparaíso,Isla de Pascua,Isla_Pascua,163.83,-27.1187,-109.3508,2014,0,"6,809,463,984",0.13, -   , -   ,"5,470.00",4, -   , -   ,62,5,"5,219.00", -   , -   ,141,16,16, -   ,15, -   ,3545,3469,1646,4990,378,21,36,44,64,40,66,23,66,6,0,8,357,312,58,147,
5,53,5301,Valparaíso,Los Andes,Los_Andes,1233.75,-32.9506,-70.243,2014,0,"21,798,897,732",0.12,"4,132.25","5,416.83",221,2, -   , -   ,828.52,1.38,"6,672.90", -   , -   ,"1,849.29",204.41,198.67,7.59,9.32, -   ,33444,32046,14063,44206,7221,2160,712,2696,2257,653,7183,83,6830,32,9593,0,1046,2266,431,367,
5,53,5302,Valparaíso,Los Andes,Calle_Larga,321.23,-32.9504,-70.5441,2014,0,"5,655,727,370",0.16,616.48,"5,116.09", -   ,1,"1,169.00", -   ,237.12,0.39,"5,982.90", -   , -   ,549.83,63.58,61.96,2.15,4.64, -   ,7289,7083,3309,9566,1497,451,111,397,264,87,873,10,736,6,408,,,,,,
5,53,5303,Valparaíso,Los Andes,Rinconada,122.82,-32.8761,-70.7058,2014,0,"7,084,014,980",0.21,"1,645.84","3,982.10",1, -   ,227, -   ,322.62,0.54,"4,641.36", -   , -   ,723.16,81.44,79.2,2.96,4.64, -   ,4951,4879,2294,6546,990,142,78,300,762,76,1265,3,157,3,1973,,,,,,
5,53,5304,Valparaíso,Los Andes,San_Esteban,1374.51,-32.6864,-70.3483,2014,0,"6,991,377,839",0.15,841.69,"7,044.35",506, -   ,151, -   ,248.03,0.4,"7,607.28", -   , -   ,558,62.04,61.38,2.2,3.71, -   ,9431,9147,4133,12440,2005,512,184,669,488,179,1994,15,641,8,817,,,,,,
5,54,5401,Valparaíso,Petorca,La_Ligua,1163.02,-32.3538,-71.2711,2014,0,"15,141,708,349",0.18,"1,652.30","3,234.47","28,711.00",1,23, -   ,806.2,18.24,"30,572.36", -   , -   ,"1,794.30",190.37,177.37,1.32,61.62, -   ,18292,17692,7574,24104,4306,96,416,2106,2091,303,2387,19,537,9,575,,,,,,
5,54,5402,Valparaíso,Petorca,Cabildo,1455.15,-32.417,-70.8235,2014,0,"8,776,395,010",0.19,154.72,"1,796.59",69, -   ,4, -   ,13.99,0.02,"1,973.72", -   , -   ,29.98,3.21,3.12,0.12,0.15, -   ,10247,9905,4609,13346,2197,49,282,969,1105,229,2298,22,582,4,701,,,,,,
5,54,5403,Valparaíso,Petorca,Papudo,167.12,-32.4747,-71.3799,2014,0,"5,368,510,684",0.09, -   ,"1,798.96",531, -   ,1, -   ,26.46,0.03,"2,229.93", -   , -   ,60.17,6.56,6.43,0.17,1.21, -   ,2866,2854,1165,3872,683,348,77,234,75,62,218,8,123,2,46,,,,,,
5,54,5404,Valparaíso,Petorca,Petorca,1515.74,-32.1904,-70.87,2014,0,"5,332,227,511",0.28,112.5,"1,036.51","1,156.00", -   , -   , -   ,77.75,1.09,"2,009.53", -   , -   ,173.32,18.77,20.38,0.51,3.63, -   ,5163,5080,2087,6807,1349,515,126,410,220,65,874,4,50,0,0,0,359,156,67,55,
5,54,5405,Valparaíso,Petorca,Zapallar,288.27,-32.5872,-71.3358,2014,0,"15,971,687,705",0.22,94.6,"2,597.06",429, -   ,81, -   ,33.55,1.04,"3,070.88", -   , -   ,74.74,9.06,9.89,0.23,2.28, -   ,3658,3606,1434,4892,938,720,190,552,331,291,1035,102,384,31,51,,,,,,
5,55,5502,Valparaíso,Quillota,Calera,59.97,-32.7938,-71.1567,2014,0,"14,885,199,437",0.23,736.24,"3,184.48","2,188.00",1,16, -   ,175.92,2.25,"5,457.65", -   , -   ,392.83,44.54,44.5,1.36,6.67, -   ,26642,25585,11064,35075,6088,1232,472,2039,1201,440,4228,41,2752,16,5648,,,,,,
5,55,5503,Valparaíso,Quillota,Hijuelas,268.15,-32.8691,-71.0809,2014,0,"7,964,170,272",0.19,682.27,"2,310.02","212,327.00",1,47, -   ,"5,100.42",130.08,"196,127.99", -   , -   ,"11,335.74","1,191.71","1,050.38",0.44,430.54, -   ,9153,9011,3947,12311,1906,506,229,873,451,169,1468,31,1408,9,4214,,,,,,
5,55,5504,Valparaíso,Quillota,La_Cruz,77.86,-32.825,-71.2407,2014,0,"5,876,108,269",0.24,292.1,"2,452.25",96, -   ,29, -   ,107.56,0.18,"2,463.89", -   , -   ,239.62,27.32,27.58,0.98,2.21, -   ,10718,10250,4808,14112,2048,348,204,757,784,162,1918,23,837,6,589,,,,,,
5,55,5506,Valparaíso,Quillota,Nogales,405.49,-32.6912,-71.1764,2014,0,"7,766,783,828",0.17,393,"2,542.75","16,136.00", -   ,41, -   ,430.27,10.08,"17,489.48", -   , -   ,956.95,102.18,89.87,0.42,33.51, -   ,11601,11261,4964,15241,2657,52,275,781,423,133,2088,15,1236,5,1415,,,,,,
5,56,5601,Valparaíso,San Antonio,San_Antonio,400.04,-33.6646,-71.4891,2014,0,"31,332,188,672",0.19,"2,841.65","25,036.70","42,244.00",3,8, -   ,"1,292.80",31.87,"65,151.05", -   , -   ,"2,879.29",311.64,354.01,4.8,107.89, -   ,47399,45400,19741,62483,10575,2410,683,3664,2405,920,7800,99,3674,38,6413,4,3597,3763,555,3820,
5,56,5602,Valparaíso,San Antonio,Algarrobo,176.3,-33.3293,-71.5996,2014,0,"8,584,950,327",0.1,255.32,"2,626.97","1,287.00",1,"1,323.00", -   ,137.34,6.15,"4,926.72", -   , -   ,334.75,39.57,36.96,0.8,10.99, -   ,6780,6523,2507,8505,2291,1048,120,692,313,115,756,12,117,6,152,3,676,267,0,225,
5,56,5603,Valparaíso,San Antonio,Cartagena,243.86,-33.5334,-71.4422,2014,0,"11,412,166,444",0.23,547.53,"5,187.34","15,632.00",2, -   , -   ,359.26,10.11,"19,994.60", -   , -   ,800.29,88.87,80.42,0.59,34.73, -   ,11373,11068,4665,14383,3393,863,117,920,241,135,748,10,431,3,158,1,1377,651,0,2490,
5,56,5604,Valparaíso,San Antonio,El_Quisco,51.64,-33.4152,-71.6522,2014,0,"8,971,548,279",0.14, -   ,"5,501.81",383,2,287, -   ,105.84,2.14,"5,773.32", -   , -   ,235.95,26.71,25.13,0.77,3.95, -   ,7855,7580,2897,9568,2970,563,81,775,218,108,638,8,475,0,0,2,924,211,0,155,
5,56,5605,Valparaíso,San Antonio,El_Tabo,99.58,-33.4825,-71.5809,2014,0,"7,619,662,489",0.05, -   ,"11,059.75","2,952.00",1,82, -   ,73.46,3.04,"13,808.82", -   , -   ,163,19.54,18.35,0.24,8.3, -   ,6265,6191,2194,7791,2471,502,77,498,111,74,316,7,156,7,294,,,,,,
5,56,5606,Valparaíso,San Antonio,Santo_Domingo,536.92,-33.8096,-71.6773,2014,0,"12,930,555,097",0.11,473.3,"5,518.73","23,003.00",1,"3,744.00", -   ,669.2,19.2,"30,060.60", -   , -   ,"1,600.02",170.69,160.85,1.11,58.36, -   ,5339,5231,2237,7035,1298,129,286,772,935,559,1180,171,1790,90,1707,,,,,,
5,57,5701,Valparaíso,San Felipe de Aconcagua,San_Felipe,186.82,-32.7362,-70.7526,2014,0,"25,272,998,662",0.13, -   , -   ,534,4,400, -   ,14, -   ,865, -   , -   ,41,7,8, -   ,3, -   ,39399,37625,16993,51859,8172,3496,672,3362,4641,785,9407,107,6476,44,7752,128,2809,3341,570,930,
5,57,5702,Valparaíso,San Felipe de Aconcagua,Catemu,361.85,-32.7071,-70.9448,2014,0,"6,938,096,052",0.21,533.68,"2,548.77",314, -   , -   , -   ,241.61,0.39,"2,491.50", -   , -   ,539.36,60.19,57.55,2.17,3.67, -   ,7153,7026,3069,9458,1652,515,139,522,162,95,871,12,350,1,1,,,,,,
5,57,5703,Valparaíso,San Felipe de Aconcagua,Llaillay,348.83,-32.8878,-70.9014,2014,0,"7,003,532,946",0.26,"1,537.15","2,305.01",21,1,105, -   ,285.92,0.48,"2,892.82", -   , -   ,640.33,72.38,70.39,2.63,4.22, -   ,12610,12285,5509,16608,2778,259,224,835,977,156,1475,15,682,12,2698,,,,,,
5,57,5704,Valparaíso,San Felipe de Aconcagua,Panquehue,121.26,-32.7931,-70.828,2014,0,"4,391,890,057",0.14,327.07,"1,359.48", -   , -   ,304, -   ,141.37,0.23,"1,453.43", -   , -   ,319.77,36.42,35.45,1.28,2.58, -   ,3635,3584,1595,4870,754,73,72,281,783,100,2145,9,222,5,1955,,,,,,
5,57,5705,Valparaíso,San Felipe de Aconcagua,Putaendo,1451.23,-32.4812,-70.5217,2014,0,"7,594,142,404",0.19,"1,022.51","5,475.47","2,646.00",1,753, -   ,388.34,8.51,"8,428.30", -   , -   ,854.85,96.42,102.29,2.81,16.46, -   ,8456,8236,3480,10932,2280,37,141,717,1332,115,1900,8,584,2,221,,,,,,
5,57,5706,Valparaíso,San Felipe de Aconcagua,Santa_Maria,165.71,-32.6857,-70.6096,2014,0,"6,225,486,427",0.27,840.44,"7,496.59", -   , -   ,314, -   ,227.25,0.38,"7,790.81", -   , -   ,511.27,58.64,57.07,2.08,3.55, -   ,7681,7499,3266,10216,1698,29,115,617,1108,163,2208,15,978,6,1087,,,,,,
5,58,5801,Valparaíso,Marga Marga,Quilpue,536.48,-33.1471,-71.2539,2014,0,"34,409,822,589",0.1,"6,355.97","10,978.96","43,752.00",6,2, -   ,"1,540.05",29.98,"55,243.65", -   , -   ,"3,431.79",366.76,374.67,5.4,102.63, -   ,79641,74890,29480,104573,20478,958,1026,4805,3482,963,10815,92,6105,32,12809,38,2951,2120,576,810,
5,58,5803,Valparaíso,Marga Marga,Olmue,231.32,-33.0355,-71.1103,2014,0,"9,555,509,786",0.23,580.89,"2,602.53","20,840.00",1,4, -   ,686.64,13.31,"21,445.57", -   , -   ,"1,528.17",163.1,145.8,1.72,44.11, -   ,8889,8625,3494,11511,2509,225,196,700,951,124,911,11,762,2,1102,,,,,,
6,61,6101,Libertador General Bernardo O'Higgins,Cachapoal,Rancagua,260.94,-34.1257,-70.8168,2014,0,"32,069,020,956",0.13,"47,739.77","27,982.82","5,018.00",16, -   , -   ,"6,523.94",9.06,"57,507.66",1, -   ,"14,080.86","1,293.42","1,256.02",33.33,51.3, -   ,124130,123098,53305,169092,24831,2764,1763,7758,6691,2241,23588,269,19913,126,59118,229,6489,2969,851,11381,
6,61,6102,Libertador General Bernardo O'Higgins,Cachapoal,Codegua,284.17,-34.0571,-70.5467,2014,0,"6,947,877,837",0.19,"3,304.64","12,931.20",503, -   ,933, -   ,"1,391.73",3.3,"12,664.76", -   , -   ,"3,014.57",290.53,281.95,7.15,17.86, -   ,6496,6557,2873,8927,1253,550,81,403,421,120,1791,14,1257,10,1179,1,1612,374,0,858,
6,61,6103,Libertador General Bernardo O'Higgins,Cachapoal,Coinco,97.34,-34.2821,-70.971,2014,0,"3,756,593,779",0.18,"2,586.09","4,285.05",12,1,"1,460.00", -   ,584.37,1.55,"6,217.89", -   , -   ,"1,290.94",121.92,117.7,3.02,6.75, -   ,3661,3719,1456,4939,985,117,65,295,444,71,593,1,0,1,0,6,118,49,0,2929,
6,61,6104,Libertador General Bernardo O'Higgins,Cachapoal,Coltauco,222.02,-34.2593,-71.0775,2014,0,"8,876,643,699",0.14,"6,544.46","19,037.54","62,598.00",1,802, -   ,"3,655.51",41.05,"75,631.67", -   , -   ,"7,994.83",779.84,726.89,11.26,141.95, -   ,9777,9841,4217,13144,2257,26,156,658,1208,160,3114,22,3534,10,4944,19,538,212,0,549,
6,61,6105,Libertador General Bernardo O'Higgins,Cachapoal,Donihue,80.47,-34.1967,-70.9236,2014,0,"8,803,264,093",0.17,"6,910.59","12,483.14",6,1,346, -   ,"1,642.92",1.55,"13,890.11", -   , -   ,"3,546.41",327.35,318.28,8.54,11.58, -   ,10455,10460,4614,14119,2182,639,146,670,509,164,1810,15,701,17,5324,8,137,72,0,113,
